PIC_20190522_100025,104.9832,103.9797,0.5059
PIC_20190522_100255,105.0804,104.9026,0.5070
PIC_20190522_100349,103.9871,106.2198,0.5058
PIC_20190522_100436,104.0943,105.8019,0.5070
PIC_20190522_100905,105.2552,107.3866,0.5061
PIC_20190522_101228,103.7389,106.1553,0.5057
PIC_20190522_101317,102.5902,105.0467,0.5045
PIC_20190522_101402,102.7961,106.4369,0.5062
PIC_20190522_101644,100.7714,107.7409,0.5054
PIC_20190522_102131,98.3137,107.0522,0.5023
PIC_20190522_102222,97.8249,110.3872,0.5031
PIC_20190522_102311,100.5884,110.4542,0.5046
PIC_20190522_102455,101.0563,109.7107,0.5058
PIC_20190522_102815,111.8633,109.4222,0.5102
PIC_20190522_103100,115.3207,115.1558,0.5109
PIC_20190522_103134,114.9361,114.7452,0.5109
PIC_20190522_103418,110.2768,108.1523,0.5096
PIC_20190522_103634,106.4310,105.2663,0.5086
PIC_20190522_103807,105.6071,107.2420,0.5050
PIC_20190522_103936,110.7082,108.0693,0.5068
PIC_20190522_104016,114.0331,107.7006,0.5079
PIC_20190522_104152,118.2692,119.9301,0.5068
PIC_20190522_104638,116.8642,118.7348,0.5074
PIC_20190522_104937,111.8550,112.6302,0.5049
PIC_20190522_105227,119.5395,120.6548,0.5074
PIC_20190522_105507,129.5188,134.7921,0.5112
PIC_20190522_105631,114.4712,119.7574,0.5032
PIC_20190522_105705,110.6622,114.6654,0.5019
PIC_20190522_105801,108.7355,112.4636,0.5028
PIC_20190522_105837,107.1867,110.4776,0.5023
PIC_20190522_105914,106.7325,109.2382,0.5001
PIC_20190522_105950,105.6694,108.0663,0.5009
PIC_20190522_110030,104.9794,107.4994,0.5001
PIC_20190522_110113,106.0845,106.7310,0.4996
PIC_20190522_110359,109.0494,110.7797,0.5034
PIC_20190522_110440,112.0824,111.2422,0.5028
PIC_20190522_110702,121.9226,130.1326,0.5080
PIC_20190522_110758,111.3099,128.0237,0.5064
PIC_20190522_111106,102.7882,119.3407,0.5025
PIC_20190522_111238,99.5849,127.6787,0.5052
PIC_20190522_111337,100.7737,131.8127,0.5051
PIC_20190522_111550,104.5115,131.2759,0.5067
PIC_20190522_111715,97.8607,120.7636,0.5023
PIC_20190522_111828,97.6658,112.9750,0.5018
PIC_20190522_111950,93.7751,107.8441,0.5009
PIC_20190522_112117,94.0359,111.1283,0.5002
PIC_20190522_112543,88.4840,114.1171,0.5039
PIC_20190522_112916,85.5691,114.4626,0.5038
PIC_20190522_112958,88.3171,112.5186,0.5030
PIC_20190522_113048,90.9614,111.2147,0.5012
PIC_20190522_113304,92.0547,107.5771,0.5009
PIC_20190522_114604,91.6042,109.9168,0.5023
PIC_20190522_114753,92.7317,111.1332,0.5019
PIC_20190522_114915,95.8461,112.4722,0.5008
PIC_20190522_115043,95.4435,111.1814,0.5000
PIC_20190522_115133,97.2400,110.2812,0.4995
PIC_20190522_115217,94.4334,107.7312,0.4986
PIC_20190522_115311,93.9408,108.5797,0.4993
PIC_20190522_115351,94.7595,109.8232,0.4986
PIC_20190522_115857,95.4746,110.7823,0.5011
PIC_20190522_120138,108.0499,99.6952,0.5082
PIC_20190522_120336,108.5358,99.0389,0.5080
PIC_20190522_120401,108.4653,98.1848,0.5084
PIC_20190522_120429,107.4477,99.3926,0.5095
PIC_20190522_120508,107.4985,98.9230,0.5073
PIC_20190522_120701,114.6496,98.8714,0.5116
PIC_20190522_103508,107.5626,108.4465,0.5083
PIC_20190522_110152,107.0009,106.9372,0.5003
PIC_20190522_113142,90.8230,107.7578,0.5012
PIC_20190522_112156,95.4764,112.9798,0.5023
